Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 4 minutes,% Change over last 8 minutes,Double Derivative,Total Profit $
Up,,,9110.04,,,0,
Up,,,0.00999999999839929,,,0,0
Down,,,-0.00999999999839929,,,-2.19537883694443E-06,0
Up,,,0.00999999999839929,,,2.19537883694443E-06,0
Down,,,-0.00999999999839929,,,-2.19537883694443E-06,0
Up,,,0.00999999999839929,,,2.19537883694443E-06,0
Down,,,-0.00999999999839929,,,-2.19537883694443E-06,0
Up,,,0.00999999999839929,,,2.19537883694443E-06,0
Down,,,-0.00999999999839929,,,-2.19537883694443E-06,0
Up,,,0.00999999999839929,,,2.19537883694443E-06,0
Down,,,-0.00999999999839929,,,-2.19537883694443E-06,0
Up,,,0.959999999999127,,,0.000106475930843342,0
Up,,,2.32999999999993,,,0.000150356584007083,0
Up,,,0.670000000000073,,,-0.00018221614515701,0
Up,,,3.95999999999913,,,0.000360977698319331,0
Up,,,0.0400000000008731,,,-0.000430109432993708,0
Down,,,-0.0100000000002183,,,-5.48367794239724E-06,0
Up,,,0.0100000000002183,,,2.1934646816657E-06,0
Down,,,-0.0100000000002183,,,-2.1934646816657E-06,0
Up,,,0.0100000000002183,,,2.1934646816657E-06,0
Down,,,-0.0100000000002183,,,-2.1934646816657E-06,0
Down,,,-7.98999999999978,,,-0.000875192889108978,0
Up,,,0.0100000000002183,,,0.000877387315689204,0
Up,,,2.97999999999956,,,0.000326015008657921,0
Down,,,-0.0100000000002183,,,-0.000328210038182508,0
Up,,,0.0100000000002183,,,2.19467057172018E-06,0
Down,,,-0.0100000000002183,,,-2.19467057172018E-06,0
Up,,,0.0100000000002183,,,2.19467057172018E-06,0
Down,,,-0.0100000000002183,,,-2.19467057172018E-06,0
Up,,,0.0100000000002183,,,2.19467057172018E-06,0
Down,,,-1.86999999999898,,,-0.000206298921755943,0
Down,,,-1.1200000000008,,,8.22748765281212E-05,0
Up,,,0.0100000000002183,,,0.000124024404180689,0
Down,,,-6.57999999999993,,,-0.000723380107264027,0
Up,,,0.0100000000002183,,,0.000723380899476989,0
Down,,,-0.0100000000002183,,,-2.19697290093634E-06,0
Down,,,-0.930000000000291,,,-0.000101060810154485,0
Down,,,-0.479999999999563,,,4.94265302779517E-05,0
Down,,,-0.0100000000002183,,,5.16341085025074E-05,0
Up,,,0.0100000000002183,,,2.1973156494326E-06,0
Down,,,-0.0100000000002183,,,-2.1973156494326E-06,0
Up,,,0.0100000000002183,,,2.1973156494326E-06,0
Down,,,-0.0100000000002183,,,-2.1973156494326E-06,0
Up,-0.523304230110483,-0.481690788883232,0.0100000000002183,,,2.1973156494326E-06,0
Down,-0.520661263283761,-0.457148700634687,-0.0100000000002183,,,-2.1973156494326E-06,0
Down,-0.527429064978258,-0.459094302413401,-0.0100000000002183,,,-1.20703447237247E-12,0
Down,-0.540824361860853,-0.474216009873999,-2,,,-0.000218633268620816,0
Up,-0.568884384585241,-0.516888511227695,0.0100000000002183,,,0.000220830828148055,0
Down,-0.5800188078588,-0.530846259597886,-0.0100000000002183,,,-2.19780099031119E-06,0
Down,-0.58925432832535,-0.546391909859895,-1.96999999999935,,,-0.000215384616592096,0
Down,-0.600925134654454,-0.597921231402942,-3.03000000000065,-0.00765100881074079,-0.00962941537493989,-0.000116555613965841,0
Up,-0.610701858347018,-0.651170000070815,0.0100000000002183,-0.00742274530094651,-0.00962940479000973,0.000334138635671888,0
Down,-0.629668818785629,-0.742375663948369,-0.0100000000002183,-0.00742275345469445,-0.00962941537491629,-2.19900923636995E-06,0
