Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 4 minutes,Total Profit $
Up,,,11015.96,,
Down,,,-0.01,,0
Down,,,-0.01,,0
Down,,,-0.68,,0
Down,,,-0.25,,0
Down,,,-0.01,,0
Up,,,0.01,,0
Down,,,-0.01,,0
Up,,,0.01,,0
Down,,,-0.01,,0
Up,,,0.01,,0
Down,,,-0.01,,0
Up,,,0.01,,0
Down,,,-0.01,,0
Up,,,0.01,,0
Down,,,-0.01,,0
Up,,,0.01,,0
Down,,,-0.01,,0
Up,-0.09060962,-0.464385768,0.01,,0
Up,-0.045270893,-0.404195062,0.01,,0
Down,-0.013972959,-0.334944371,-0.01,,0
Up,0.055117931,-0.248931753,0.01,,0
Down,0.068325717,-0.224342585,-0.01,,0
Up,0.077317598,-0.221953905,0.01,,0
Down,0.086490584,-0.219593193,-0.01,,0
Down,0.088575097,-0.217252979,-0.01,,0
Down,0.089773029,-0.219476573,-0.01,,0
Up,0.084791948,-0.228465689,0.01,,0
Down,0.072493993,-0.241296582,-0.01,,0
Down,0.0512488,-0.25993523,-0.03,,0
Down,0.049126808,-0.261257291,-4.96,,0
Up,0.024624909,-0.249529349,0.01,,0
Down,-0.008078484,-0.268639953,-0.01,,0
Down,-0.075221399,-0.350998443,-2.59,,0
Down,-0.081031385,-0.355678266,-0.02,,0
Down,-0.087777688,-0.359339243,-0.02,,0
Up,-0.109383116,-0.372768691,0.01,,0
Down,-0.134836669,-0.39578621,-0.08,,0
Down,-0.141555665,-0.40581426,-2.31,,0
Down,-0.146689271,-0.412852606,-4.98,,0
Down,-0.152914558,-0.425089071,-0.01,,0
Up,-0.179973929,-0.482479536,0.01,,0
Down,-0.18281525,-0.485048056,-0.01,,0
Up,-0.184659967,-0.488323555,0.01,,0
Down,-0.191074849,-0.501574132,-0.01,,0
Up,-0.204643949,-0.519406764,0.01,,0
Down,-0.206672839,-0.512383128,-0.01,,0
Up,-0.209232163,-0.493317813,0.01,,0
Down,-0.208619708,-0.486452321,-0.01,,0
Up,-0.216327025,-0.489889997,0.01,,0
Down,-0.074241073,0.186069875,-0.01,,0
Up,-0.018183369,0.43052274,0.01,0.004542629,0
Down,-0.012568932,0.445183342,-0.01,0.00477693,0
Up,0.129412049,0.800975021,0.01,0.004542629,0
Down,0.266102837,1.058273873,-0.01,0.00336188,0
Up,0.399825632,1.268905009,0.01,0.003357341,0
Down,0.612085041,1.666926128,-0.01,0.003193138,0
Up,0.644582073,1.738922484,0.01,0.003188815,0
Down,0.756090494,1.991089257,-0.01,0.003188812,0
Up,0.874576577,2.302233826,0.01,0.003158532,0
Down,1.011927357,2.668645807,-0.01,0.002154867,0
Up,1.084278916,2.842405682,1,4.33E-06,0
Up,1.095944964,2.865768898,10,-0.000409091,0
Up,1.10045587,2.869800531,3.98,-0.004343514,0
Up,1.116424591,2.888827939,0.02,-0.005919018,0
Up,1.149601091,3.077173088,0.03,-0.00592296,0
Up,1.174333599,3.230419507,3.31,-0.005463653,0
